unique_id,Unnamed: 0,AutoARIMA,AutoTheta,AutoETS,CES,MSTL,SeasonalNaive,WindowAverage,SeasWA,Naive,prophet,best_model
116_CPU,53584743059.462234,21271718669.27035,21298047372.507942,21902183382.65905,45871249780.05485,20980480287.8704,72669580090.77582,20815012874.344524,72669580090.77582,39733254350.69338,17073408912.15639,prophet
117_CPU,52972625335.819084,22377273961.295574,27084229321.478447,28804646300.896618,39625528566.35999,28322688179.67457,71611177981.30438,20332486284.514103,71611177981.30438,366084327797.7739,16769240814.279406,prophet
118_CPU,50585196395.73392,20758992899.50774,19402882453.161148,20039172900.45758,38826113616.44187,22840426373.634937,82968956425.60527,19828858834.945534,82968956425.60527,30510141091.374844,18565425875.968113,prophet
119_CPU,59378224888.59558,24296614220.632324,27608757039.591362,25646737538.25149,51193610475.21827,24751056209.43282,92401931600.04771,20761303138.532715,92401931600.04771,25546533975.692314,20569971048.033566,prophet
11_CPU,54185039121.69969,12286400714.572832,13017528053.945108,12310573532.891613,8882217148.92077,12679840571.469675,14113901586.706226,13756086961.82512,14113901586.706226,11444840365.337116,15264654472.074821,CES
120_CPU,60856198054.69039,29670154452.532734,28893480650.928543,29904319359.167183,23675728927.639355,28033166952.69857,83432369915.25134,21806265172.85082,83432369915.25134,31453003477.0887,20098537255.055542,prophet
121_CPU,43494156813.87392,24427391077.635387,23487711350.036613,24386329987.64872,27750944456.03929,24613665842.298637,40730732737.0624,26541116422.00755,40730732737.0624,24152124428.34625,60264104022.44315,AutoTheta
122_CPU,87023415928.77751,43145074411.15509,40583592156.00678,43748983514.2455,75590973129.33887,43711788586.096016,48621454056.87646,42106441566.28126,48621454056.87646,41451322489.57774,40375944926.20571,prophet
123_CPU,91064154057.2554,44618551060.95863,44378003826.26775,44851590778.08156,77539692234.00421,43778937084.75457,47783679415.63995,43596889018.75572,47783679415.63995,45509413115.59284,44901853719.46559,WindowAverage
124_CPU,90292430966.0188,45626589755.64779,46780155908.3573,46002172145.99958,77864551691.02982,45421141100.85236,49344960623.13723,44796120878.00566,49344960623.13723,48794936367.318375,45115711234.33936,WindowAverage
125_CPU,85782351905.92143,41806052714.01659,42760309471.61741,42147729487.4209,75343724811.4908,41186367128.40699,46060815749.14042,40534164423.12162,46060815749.14042,40865023848.58637,39915012768.223625,prophet
126_CPU,87466762828.15369,44284865430.56393,45733075837.12807,45003562194.007935,84437700916.9732,43883118012.43672,46584082472.49485,42760972151.07539,46584082472.49485,50195862194.49808,40965350201.76777,prophet
