unique_id,AutoARIMA,AutoTheta,AutoETS,CES,MSTL,SeasonalNaive,WindowAverage,SeasWA,Naive,prophet,best_model
160_CPU,0.10178733,0.100128636,0.101832874,0.66994673,0.09458116,0.09956344,0.10082727,0.09956344,0.10190276,0.12652287220048192,MSTL
161_CPU,0.10770162,0.10847229,0.10761028,0.10759257,0.108685,0.10857127,0.10768117,0.10857127,0.10800579,0.10836233721407634,CES
162_CPU,0.009841977,0.02275923,0.008676506,0.026447456,0.008624636,0.008630909,0.009952505,0.008630909,0.009757579,0.010489789674864289,MSTL
163_CPU,43.189995,31.483976,35.674503,97.62195,40.49181,187.96887,147.16006,187.96887,35.675354,139.88200031472437,AutoTheta
164_CPU,0.02376586,0.02351664,0.02395137,0.043641742,0.033204596,0.023507247,0.023651524,0.023507247,0.02397254,0.053394002125600706,SeasonalNaive
165_CPU,0.075978845,0.050867144,0.049343,0.049616136,0.05058095,0.10346399,0.049314573,0.10346399,0.049342874,0.054251499025201884,WindowAverage
166_CPU,0.016213717,0.0041671116,0.0036209975,52752.773,0.025182867,0.05437272,0.0056164283,0.05437272,0.003632857,0.018060207435004194,AutoETS
167_CPU,0.08137457,0.07875928,0.0807729,0.7983652,0.09263535,0.08613382,0.08536296,0.08613382,0.080745496,0.19249174536198893,AutoTheta
168_CPU,1.0820171,0.8883187,0.8486457,3.2783394,0.9106074,0.8481918,0.96206003,0.8481918,1.0719957,1.203173988475893,SeasonalNaive
169_CPU,0.5862961,0.58573586,0.5857645,0.5867284,0.5856164,0.58583415,0.585847,0.58583415,0.5862961,0.5974779281516097,MSTL
16_CPU,1.0048687,0.9992441,1.0045421,1.1005172,1.0069997,1.0072141,1.00686,1.0072141,1.0107003,1.3033099190455248,AutoTheta
170_CPU,1.8473012,1.8160752,1.8128555,4.4200716,1.7904857,2.367765,2.1536205,2.367765,1.6238437,2.863832625944669,Naive
171_CPU,0.084876075,0.09614731,0.08491907,0.091348305,0.085544035,0.08491907,0.08491907,0.08491907,0.08491907,0.7149329001114064,AutoARIMA
172_CPU,0.099380925,0.51381445,0.10074188,0.2769355,0.10656765,0.10074188,0.10074188,0.10074188,0.10074188,0.6863088651224604,AutoARIMA
173_CPU,0.079473205,0.038567975,0.0387702,0.22569342,0.03882803,0.039045185,0.039062012,0.039045185,0.03777971,0.6460284081848863,Naive
174_CPU,0.011662369,0.011666955,0.011666955,0.020951655,0.011674246,0.011666955,0.011666955,0.011666955,0.011666955,0.728568804654401,AutoARIMA
175_CPU,0.011552424,0.20732453,0.011552744,0.018374681,0.011556795,0.011552744,0.011552744,0.011552744,0.011552744,0.43646162156996104,AutoARIMA
176_CPU,0.013727136,0.013730026,0.013730026,0.2645271,0.013801422,0.013730026,0.013730026,0.013730026,0.013730026,0.37977660971330524,AutoARIMA
177_CPU,5.48106,5.712834,5.456816,3.1617396,5.2750573,3.3512628,1.946951,3.3512628,5.3329854,7.167949474728418,WindowAverage
178_CPU,0.0013818867,0.0015528997,0.0014538753,0.00039048513,0.0015273666,0.0014518439,0.0051884423,0.0014518439,0.006108146,0.0038757290182931336,CES
179_CPU,2.4944026,2.3691244,2.4368556,6.0545516,2.3267248,2.4554617,2.4530182,2.4554617,2.4368556,3.766007276224479,MSTL
17_CPU,1.9639245,2.0249636,1.9637173,2.0551305,1.9720039,1.9699179,1.9625528,1.9699179,2.0358407,1.9205000932631837,prophet
180_CPU,0.0005197567,0.0022441132,0.00036511544,0.00042039016,0.0021919792,0.061177026,0.003109224,0.061177026,0.00041659726,0.0007403564831536213,AutoETS
181_CPU,3.5914197,3.5579088,3.575386,6.699852,3.7366107,3.7807686,3.7689085,3.7807686,3.714316,25.48110909491913,AutoTheta
182_CPU,0.12926912,0.03603548,0.03618973,0.2164333,0.0521315,0.041166306,0.029261095,0.041166306,0.025361437,0.13604304284765478,Naive
183_CPU,0.16210718,0.14134419,0.14157236,0.18692292,0.139097,0.2415373,0.16222602,0.2415373,0.16235307,0.2523581607238809,MSTL
184_CPU,0.5520689,0.5440438,0.5428603,0.55839705,0.54307353,0.5675768,0.5454875,0.5675768,0.55206823,0.5706803804956474,AutoETS
185_CPU,1928.3774,2022.0845,1827.0413,1900.2572,1665.1262,1823.9945,1823.6757,1823.9945,1827.0416,1278.0640317494178,prophet
186_CPU,1920.304,1996.2244,1875.6072,1889.2333,1708.7238,1871.7692,1871.2754,1871.7692,1875.6072,1374.7778256201248,prophet
187_CPU,1934.735,2004.8058,1893.1361,1904.201,1724.4668,1890.2633,1889.8533,1890.2633,1893.1361,1390.493655524897,prophet
188_CPU,0.1977985,2.1316662,1.8377142,2194434300.0,2.794088,2.1810296,1.9908663,2.1810296,2.0433981,7.102447529812748,AutoARIMA
189_CPU,0.038798284,0.015488917,0.016735759,115918920.0,0.017108614,0.018567776,0.017172072,0.018567776,0.015648507,0.041146805797155545,AutoTheta
18_CPU,0.46203852,0.15305394,0.14954908,0.6323872,0.14907534,0.15542096,0.14839697,0.15542096,0.13911992,0.20543619916020522,Naive
190_CPU,1.203086e-06,1.157818e-06,1.1596009e-06,1.1519527e-06,1.2047666e-06,1.2049722e-06,3.2149107e-06,1.2049722e-06,3.3295287e-06,2.4916147913196867e-06,CES
191_CPU,0.008841506,0.0076991115,0.009216755,0.005167664,0.005672525,0.0059415726,0.005808486,0.0059415726,0.00805089,0.017572483911776803,CES
192_CPU,0.053357128,1.6140257,0.053325355,0.51646763,0.05358093,0.05325042,0.053373873,0.05325042,0.053325355,42.446212255698455,SeasonalNaive
193_CPU,1.7989742,91.113235,0.031531665,41.42272,48.500954,0.031549904,0.031549998,0.031549904,0.031531665,768.7462695763246,AutoETS
194_CPU,2321.6274,2359.8828,2322.2422,2279.596,2227.059,2305.8782,2310.3481,2305.8782,2322.534,2190.2627480764504,prophet
195_CPU,1936.4761,2425.804,2312.107,2264.2205,2234.2932,2297.592,2301.7224,2297.592,2311.6472,2062.9736918748863,AutoARIMA
196_CPU,1961.8622,2292.3005,2320.9375,2271.041,2205.9875,2305.495,2310.104,2305.495,2320.8552,2333.008166611595,AutoARIMA
197_CPU,2380.1418,2837.911,2704.5007,2678.9604,2636.5742,2704.404,2704.3108,2704.404,2704.5007,2315.204338677242,prophet
198_CPU,84.87531,85.47966,85.027084,647.382,84.96344,84.498184,84.4819,84.498184,85.02712,125.75002249520415,WindowAverage
199_CPU,1.1903461,0.31351343,0.32919705,0.56019014,0.3137413,0.29586938,0.3003936,0.29586938,0.33449858,3.1840261552920084,SeasonalNaive
19_CPU,0.1301711,0.09034887,0.085970424,0.13267879,0.11724827,0.14303587,0.07139285,0.14303587,0.085970424,0.564667037843061,WindowAverage
1_CPU,4.503083,6.088105,4.5948057,5.537915,4.7434907,4.6503015,4.645861,4.6503015,4.659197,8.202431113190073,AutoARIMA
200_CPU,0.2494112,0.26602906,0.24063283,0.6767918,0.2207174,0.21679117,0.2211504,0.21679117,0.24649158,1.0020037022332133,SeasonalNaive
201_CPU,0.121607594,0.13459241,0.12132544,0.887186,0.11731455,0.11784114,0.122613296,0.11784114,0.121164136,0.578657818615425,MSTL
202_CPU,0.15653777,0.15643731,0.15643768,0.16123179,0.19993281,0.20963556,0.13896884,0.20963556,0.15653777,0.14832909704343436,WindowAverage
203_CPU,20.373604,20.671587,20.373697,22.453835,20.527987,20.382717,20.37571,20.382717,20.383736,23.017244723061047,AutoARIMA
204_CPU,5.347763,4.3995504,1.5540658,5.9333467,16.773592,27.693579,4.6759343,27.693579,1.7606161,15.23037085652737,AutoETS
205_CPU,0.40220776,0.5953864,0.71454215,1.8768817,0.53803927,0.7510646,0.32897103,0.7510646,0.7526577,0.9580865728821596,WindowAverage
206_CPU,937.7958,936.3583,938.6488,966.2611,937.20276,938.17926,938.0848,938.17926,940.2456,962.9854529305326,AutoTheta
207_CPU,8.097031,7.4461584,6.5616894,3.021292,10.357937,25.360247,11.709256,25.360247,3.990853,23.868443007862332,CES
208_CPU,0.1980312,0.19782355,0.19785419,0.26386875,0.19859347,0.19842876,0.19818303,0.19842876,0.19819947,0.20321412058268548,AutoTheta
209_CPU,2.1504161,0.34651175,0.3765976,2.2419252,11.607688,10.23807,0.50498086,10.23807,0.37658435,61.75441110434153,AutoTheta
20_CPU,3.8863826,4.2367554,3.8863826,4.0317597,3.8863826,3.8863826,3.8863826,3.8863826,3.8863826,3.8303463961164796,prophet
210_CPU,0.6168351,0.5674477,0.6176039,2.3008375,12.300149,11.497096,0.57255995,11.497096,0.61758906,68.78309080984006,AutoTheta
211_CPU,2.1521494,10.536946,2.0728152,8.86733,2.1979535,2.3948114,2.0555017,2.3948114,2.0728354,15.811599418333582,WindowAverage
212_CPU,207.46716,62.867325,155.63766,52.191517,141.35161,287.43875,57.572987,287.43875,51.975006,106.18952939557322,Naive
213_CPU,0.67305166,0.6730227,0.6732829,0.7304862,0.6739373,0.67809325,0.6744793,0.67809325,0.6722851,0.7509894695105502,Naive
214_CPU,1.0531881,1.0481734,1.0819952,1.0549996,1.452669,2.997787,1.2370154,2.997787,1.0478215,1.3665128511378717,Naive
215_CPU,3.341517,3.2042577,3.2075894,3.179778,3.24735,3.2320285,35.244736,3.2320285,36.797077,23.58117737617357,CES
216_CPU,0.15807419,0.13912605,0.12900257,0.7539363,0.14900553,0.2800547,0.16624402,0.2800547,0.16463009,3.2266685674163216,AutoETS
217_CPU,0.03226581,0.019818692,0.019881498,0.019543225,0.020062307,0.031246945,0.032564852,0.031246945,0.03357097,0.028887178539593553,CES
218_CPU,2.6899815,2.0175734,2.1412153,1.9135965,2.9325016,2.2292001,9.317135,2.2292001,193.87247,6.8182626656854,CES
219_CPU,7.667378,5.963387,5.964506,11.999885,7.187789,8.373003,8.183779,8.373003,5.3225236,11.541903830139894,Naive
21_CPU,0.29053384,0.059566457,0.05962234,0.49011272,0.058838032,0.059376907,0.0593795,0.059376907,0.059608333,0.06822543598463164,MSTL
220_CPU,2.2657583,2.2541835,2.2519462,2.2380083,2.2686596,2.3002121,13.094956,2.3002121,14.80469,4.138111624703075,CES
221_CPU,0.012045088,0.009977423,0.00996742,0.00994925,0.010244709,0.015590177,0.025294024,0.015590177,0.0266348,0.020164913073990702,CES
222_CPU,0.3404673,0.038339045,0.039134275,0.036460645,0.042014454,0.04593051,0.04962973,0.04593051,0.08565828,0.05607370541034514,CES
223_CPU,0.04307067,0.008779037,0.008559368,0.014225991,0.008603584,0.009898499,0.017346283,0.009898499,0.01875171,0.014916612850776079,AutoETS
224_CPU,0.18166818,0.10152522,0.09984549,0.09708806,0.100097544,0.11093755,0.13235812,0.11093755,0.13966708,0.1057681547386877,CES
225_CPU,0.049768705,0.007864241,0.00784459,0.01362554,0.007979673,0.008639755,0.01012447,0.008639755,0.014847413,0.009908598591862076,AutoETS
226_CPU,19.181849,3.7076173,3.733875,27.090021,3.7558815,3.811932,3.8221204,3.811932,3.7336202,5.514540426595273,AutoTheta
227_CPU,0.113954626,0.115318894,0.11357952,0.116559975,0.11746177,0.12517652,0.11395341,0.12517652,0.11572201,0.1156574219906427,AutoETS
228_CPU,9.083925,7.3278112,9.500548,10.759852,9.038643,12.250587,15.024751,12.250587,16.071098,11.269335242421842,AutoTheta
229_CPU,0.07542765,0.072513044,0.07626389,0.38838822,0.07244374,0.076160334,0.11537936,0.076160334,0.11651908,0.11277981416371692,MSTL
22_CPU,1.9905212,2.1285872,2.3965263,6.8279567,2.238136,2.3313718,1.9909723,2.3313718,2.1890216,1.7535196595838505,prophet
230_CPU,18.019434,1.1255829,1.1407039,6.7607193,1.1626652,1.1648502,1.2304544,1.1648502,1.2200744,1.4009478269902247,AutoTheta
231_CPU,2.5666146,2.41715,2.5058725,2.2425063,3.1115441,2.4314852,30.919292,2.4314852,34.27635,19.47348333002345,CES
