unique_id,AutoARIMA,AutoTheta,AutoETS,CES,MSTL,SeasonalNaive,WindowAverage,SeasWA,Naive,prophet,best_model
181_CPU,3266734300.0,2439024000.0,1441127000.0,5838292000.0,4940454400.0,1302789500.0,1284771800.0,1302789500.0,1661394200.0,11830646079.579464,WindowAverage
182_CPU,382334880.0,339042660.0,267479330.0,370476700.0,286514240.0,428849540.0,330563330.0,428849540.0,475446200.0,625627262.1862515,AutoETS
183_CPU,1953650800.0,2411847200.0,946156800.0,2223087000.0,1012093900.0,5679311400.0,1509442600.0,5679311400.0,1050833500.0,1034182461.2003552,AutoETS
184_CPU,1486815500.0,1506314500.0,1455733600.0,1680492300.0,2447237600.0,2987213000.0,1476427500.0,2987213000.0,1688790900.0,1834468310.0927975,AutoETS
185_CPU,572662100000.0,131915200000.0,135213466000.0,268410420000.0,167257670000.0,135553390000.0,135034995000.0,135553390000.0,133943140000.0,328768110185.88574,AutoTheta
186_CPU,145251000000.0,152877070000.0,154444120000.0,140580210000.0,200341160000.0,146684800000.0,149112440000.0,146684800000.0,154444890000.0,317709481446.78656,CES
187_CPU,137143845000.0,151627600000.0,152608650000.0,132029090000.0,223619240000.0,144753740000.0,144137700000.0,144753740000.0,152955960000.0,309846095663.88495,CES
188_CPU,271913950.0,218430000.0,194320240.0,242976450.0,170242160.0,271825630.0,260526960.0,271825630.0,257906300.0,568999484.4570194,MSTL
189_CPU,241204400.0,224927520.0,187241390.0,215468830.0,216591330.0,270903070.0,251331630.0,270903070.0,292800220.0,661771653.5717318,AutoETS
18_CPU,659989600.0,644217700.0,533694720.0,551827400.0,581706240.0,814435000.0,641392500.0,814435000.0,660158500.0,721303468.1448158,AutoETS
190_CPU,20527766.0,9051598.0,9101176.0,9212295.0,8982461.0,13694894.0,8976137.0,13694894.0,14344780.0,9212186.123160938,WindowAverage
191_CPU,163924160.0,141370770.0,120594020.0,141920430.0,122153560.0,170842450.0,196318600.0,170842450.0,196132430.0,1539526144.7274425,AutoETS
192_CPU,154674850.0,158306290.0,154659520.0,204239860.0,158410830.0,209501380.0,165020290.0,209501380.0,193430740.0,198817942.6285406,AutoETS
193_CPU,0.0,1908644000.0,0.0,180625120.0,218639780.0,0.0,0.0,0.0,0.0,133784329706.25111,AutoARIMA
194_CPU,1246692500000.0,1116346900000.0,1220247600000.0,1264242500000.0,1107614800000.0,1192998300000.0,1201854500000.0,1192998300000.0,1237488900000.0,741891329576.6875,prophet
195_CPU,1058400630000.0,994156500000.0,1032711630000.0,1134173100000.0,980648460000.0,1003481330000.0,1013319300000.0,1003481330000.0,1024534450000.0,600681619439.457,prophet
196_CPU,1087007300000.0,966782350000.0,1033791100000.0,1086016850000.0,959650140000.0,1035788900000.0,1036691240000.0,1035788900000.0,1013831760000.0,644862933589.8967,prophet
197_CPU,817940800000.0,799002200000.0,799003900000.0,881180000000.0,836720070000.0,785357900000.0,783397950000.0,785357900000.0,805567500000.0,523776828029.43097,prophet
198_CPU,2181828600.0,8949877000.0,2181781800.0,2724062700.0,2065083400.0,5153285000.0,1873488400.0,5153285000.0,2069989200.0,7058607127.263588,WindowAverage
199_CPU,400078400.0,392766880.0,402072260.0,497532860.0,399672500.0,544603970.0,370751840.0,544603970.0,371214000.0,425054796.16933835,WindowAverage
19_CPU,4427834400.0,221406960.0,220109650.0,270310100.0,173563980.0,269859500.0,193119570.0,269859500.0,236641360.0,305501402.68853253,MSTL
1_CPU,117503400000.0,131204360000.0,86578660000.0,49677423000.0,88612800000.0,93992270000.0,91002470000.0,93992270000.0,88391270000.0,254931642632.26382,CES
200_CPU,312695360.0,317996450.0,312005570.0,325762000.0,329538800.0,472402780.0,307146000.0,472402780.0,356102820.0,419411719.33572227,WindowAverage
201_CPU,460465150.0,448657660.0,467123140.0,483705920.0,413572580.0,590483140.0,340029440.0,590483140.0,1524768300.0,405125740.8350644,WindowAverage
202_CPU,11493056.0,2022668.2,2022669.0,8881390.0,2032820.0,2338577.8,2044189.8,2338577.8,2332788.5,3183706.4638365614,AutoTheta
203_CPU,322826470000.0,202365170000.0,358024600000.0,395479250000.0,181046980000.0,355369500000.0,356746300000.0,355369500000.0,358453940000.0,227702523169.4733,MSTL
204_CPU,7210123000000.0,3298174700000.0,3048755200000.0,2973571200000.0,3062948000000.0,1977152200000.0,937022600000.0,1977152200000.0,2873476300000.0,1011275552210.5607,WindowAverage
205_CPU,10301524000.0,20013785000.0,10576981000.0,50300190000.0,8358434300.0,10289122000.0,10152223000.0,10289122000.0,11176859000.0,11649624554.57901,MSTL
206_CPU,2208314700000.0,2266266000000.0,2285566200000.0,2417737300000.0,2081119500000.0,2244074500000.0,2249711700000.0,2244074500000.0,2304217000000.0,2154653043022.4465,MSTL
207_CPU,288706430.0,54401696.0,54408416.0,56639828.0,61616556.0,78437110.0,57705810.0,78437110.0,60622356.0,95290358.87617078,AutoTheta
208_CPU,283186240.0,198851100.0,154842670.0,390230460.0,159264830.0,160735650.0,298577660.0,160735650.0,314328960.0,658211450.2426023,AutoETS
209_CPU,593691400.0,342574240.0,488787100.0,640422140.0,435441100.0,566178100.0,461918660.0,566178100.0,310576350.0,840763794.0271038,Naive
20_CPU,3248299000.0,3863904800.0,3558449200.0,4775329300.0,4469476000.0,4723334000.0,3252235000.0,4723334000.0,4303120400.0,3757104613.840769,AutoARIMA
210_CPU,888825700.0,434000260.0,614437760.0,799850100.0,674618000.0,696307400.0,610965760.0,696307400.0,432094050.0,1123355818.865323,Naive
211_CPU,20468330000.0,20534309000.0,20567670000.0,18761107000.0,18758830000.0,21147134000.0,20152710000.0,21147134000.0,21971964000.0,31801573152.106087,MSTL
212_CPU,748734200.0,880567940.0,710353660.0,1487397000.0,655402300.0,684738050.0,629534460.0,684738050.0,1069466300.0,1042595516.8015348,WindowAverage
213_CPU,1399495300000.0,1408340600000.0,1398932500000.0,1367769200000.0,1409226800000.0,1397765000000.0,1381271500000.0,1397765000000.0,1432854200000.0,1390299393928.734,CES
214_CPU,4465507000.0,1429767300.0,1432684800.0,1687203600.0,2530070300.0,2277472000.0,1423721500.0,2277472000.0,1373836800.0,1540602083.191909,Naive
215_CPU,1227772700.0,1213228700.0,1200861400.0,1211038000.0,1206850800.0,1131793700.0,2091797900.0,1131793700.0,2087643300.0,1522763103.1848388,SeasonalNaive
216_CPU,709441000.0,513389100.0,414511360.0,510371000.0,485166180.0,835539460.0,572104000.0,835539460.0,907057860.0,541376272.5230151,AutoETS
217_CPU,164752910.0,106007464.0,23647460.0,221739400.0,85782744.0,89688136.0,39382384.0,89688136.0,989974700.0,41357397.988001704,AutoETS
218_CPU,867380700.0,910753900.0,525056000.0,665147800.0,548940700.0,836882100.0,959807300.0,836882100.0,958749000.0,749052543.5455137,AutoETS
219_CPU,20105116000.0,19879410000.0,19014860000.0,20724550000.0,22484140000.0,25267170000.0,23227812000.0,25267170000.0,26800007000.0,19001245206.087067,prophet
21_CPU,611823040.0,609248800.0,609065000.0,646152300.0,716048960.0,1417487000.0,609061500.0,1417487000.0,1134026800.0,706745080.428529,WindowAverage
220_CPU,1341944200.0,4257736700.0,2026333300.0,3811343000.0,1110176500.0,1539592800.0,123214320000.0,1539592800.0,124300300000.0,28800729013.072723,MSTL
221_CPU,10830865.0,8998336.0,8603131.0,8785550.0,9461477.0,19903152.0,41429030.0,19903152.0,42440860.0,31872647.108961474,AutoETS
222_CPU,1547037300.0,1659465000.0,1547341400.0,7174028300.0,1668010600.0,2948597500.0,1417035100.0,2948597500.0,2243289600.0,2983469411.759032,WindowAverage
223_CPU,13524718.0,15902618.0,11872077.0,15879846.0,12708903.0,23811174.0,45515204.0,23811174.0,45220268.0,37267153.54172395,AutoETS
224_CPU,7109603.0,7471475.0,6561907.0,8138595.0,6451956.0,10799034.0,26562676.0,10799034.0,32982872.0,21305876.195233647,MSTL
225_CPU,8762077.0,9182669.0,8762298.0,9422248.0,9721091.0,12867886.0,8803979.0,12867886.0,12169117.0,9490506.61498663,AutoARIMA
226_CPU,3415495000.0,9412651000.0,3414852000.0,4410160600.0,2673232400.0,4136627700.0,3176605700.0,4136627700.0,3755024400.0,9820516237.925888,MSTL
227_CPU,1678006000.0,1717949200.0,1718312300.0,1744781000.0,1613886100.0,2184544000.0,1587951900.0,2184544000.0,1443438700.0,1567327401.9412684,Naive
228_CPU,389723740.0,420095420.0,399215970.0,1365585500.0,269904450.0,351341920.0,351276540.0,351341920.0,358916450.0,384054956.17376375,MSTL
229_CPU,311885120.0,147696180.0,138432540.0,142994660.0,151914000.0,266751070.0,526623900.0,266751070.0,548838500.0,433781729.0514449,AutoETS
22_CPU,238097300000.0,205325520000.0,237125200000.0,352216350000.0,164433740000.0,235011150000.0,237155910000.0,235011150000.0,245193920000.0,503961538683.17773,MSTL
230_CPU,321837730.0,347621630.0,339094430.0,317639230.0,252562580.0,471392420.0,347154400.0,471392420.0,337862080.0,494791668.7999014,MSTL
231_CPU,1513199700.0,1751740800.0,1445475500.0,3790010000.0,1308759000.0,1559953200.0,64702020000.0,1559953200.0,132570510000.0,33868452859.979393,MSTL
232_CPU,3253986100000.0,3199618000000.0,3199619300000.0,3299176000000.0,3054057000000.0,3183133900000.0,3185264600000.0,3183133900000.0,3189126500000.0,2509625066272.374,prophet
233_CPU,3670880600000.0,3649934200000.0,3649948400000.0,3612349800000.0,3327233400000.0,3596377000000.0,3597746600000.0,3596377000000.0,3666586400000.0,2851938202829.6084,prophet
234_CPU,3522310700000.0,3473734600000.0,3473736500000.0,3586023800000.0,3223956500000.0,3467053000000.0,3464849000000.0,3467053000000.0,3462479500000.0,2563338061479.0435,prophet
235_CPU,4583604600000.0,4478525000000.0,4530294000000.0,4614674000000.0,4202371700000.0,4518422000000.0,4529853000000.0,4518422000000.0,4539144000000.0,3661468122148.746,prophet
236_CPU,31664058000.0,31288207000.0,31353502000.0,44338827000.0,32671246000.0,63828357000.0,32234013000.0,63828357000.0,48967440000.0,43012518311.477455,AutoTheta
237_CPU,560366940000.0,639369400000.0,623455500000.0,617082800000.0,709657400000.0,1232162100000.0,676827000000.0,1232162100000.0,626444600000.0,588580097253.8724,AutoARIMA
238_CPU,62067292.0,32262180.0,29130972.0,29413516.0,31166622.0,46552456.0,29303034.0,46552456.0,27325796.0,28553620.14372434,Naive
239_CPU,649314200.0,650328000.0,647771650.0,724414500.0,826651500.0,1486218200.0,644425660.0,1486218200.0,905498800.0,988398385.679613,WindowAverage
23_CPU,1740375400.0,1666303700.0,1740058000.0,1557357200.0,1798136200.0,2119945500.0,1402094200.0,2119945500.0,1253186600.0,1427174182.2423923,Naive
240_CPU,56221036.0,21925850.0,23104878.0,22651958.0,25704444.0,46142130.0,22121756.0,46142130.0,21894986.0,23072075.017444085,Naive
241_CPU,800797250.0,828436600.0,571555100.0,977934000.0,537195300.0,626342000.0,826704450.0,626342000.0,920487600.0,1566933656.5732486,MSTL
242_CPU,81132100000.0,45148760000.0,34499875000.0,39399880000.0,49229197000.0,63545876000.0,60814455000.0,63545876000.0,59135810000.0,41773055634.53316,AutoETS
243_CPU,720582660.0,1455879700.0,748171600.0,1903255600.0,810473150.0,961507500.0,459705540.0,961507500.0,665748860.0,557597016.3352094,WindowAverage
244_CPU,3411336700.0,3477644800.0,3416699400.0,3502914000.0,3751787000.0,6530903000.0,3459700500.0,6530903000.0,3414702800.0,4673464957.894399,AutoARIMA
245_CPU,654182500.0,645152260.0,654287200.0,737240770.0,848555650.0,1520921600.0,764910600.0,1520921600.0,1175051300.0,839485610.0055774,AutoTheta
246_CPU,6606053000.0,6903325000.0,6599490600.0,6778384000.0,6531502000.0,10027239000.0,6610961400.0,10027239000.0,31372820000.0,7763184126.37783,MSTL
247_CPU,1023231300.0,1086647600.0,1057389250.0,940379800.0,893213950.0,1394279400.0,1099800800.0,1394279400.0,1153362300.0,1139552485.6823478,MSTL
248_CPU,1114177800.0,1470336000.0,1342330600.0,1096040000.0,1255238800.0,1678711000.0,661029700.0,1678711000.0,9289899000.0,800240892.3338913,WindowAverage
249_CPU,43678136.0,45052810.0,43664640.0,46167580.0,43240800.0,65365852.0,42825700.0,65365852.0,56491030.0,56599572.13801924,WindowAverage
24_CPU,1746995300.0,1720586600.0,1716115000.0,1729344100.0,1849471400.0,2548162600.0,1444976600.0,2548162600.0,1815435500.0,1583532755.8114116,WindowAverage
250_CPU,0.0,278914.75,0.0,181246430.0,180.17058,0.0,0.0,0.0,0.0,34780817.351490304,AutoARIMA
251_CPU,1024467460.0,1020292350.0,1030627140.0,1026150900.0,1068351900.0,1545227600.0,1024050400.0,1545227600.0,1275606900.0,1029505898.8592405,AutoTheta
252_CPU,10950229000.0,11227566000.0,12010501000.0,62720193000.0,15550451000.0,37633896000.0,11221701000.0,37633896000.0,10592336000.0,44620546284.49662,Naive
253_CPU,11302127000000.0,12392255000000.0,11305772000000.0,12664949000000.0,11612184000000.0,11895122000000.0,11873369000000.0,11895122000000.0,11433585000000.0,11822749988294.88,AutoARIMA
254_CPU,21268780000.0,21480450000.0,21270790000.0,22115623000.0,21552837000.0,23408271000.0,23120937000.0,23408271000.0,21140685000.0,21742165514.16917,Naive
255_CPU,34197930000.0,36131010000.0,34265213000.0,37700796000.0,36682080000.0,38939290000.0,38516007000.0,38939290000.0,35662430000.0,42295930947.30509,AutoARIMA
256_CPU,73980690000.0,72656160000.0,61496470000.0,82940650000.0,69200960000.0,61951670000.0,60577436000.0,61951670000.0,115966150000.0,58384963530.42995,prophet
257_CPU,711340900.0,789241100.0,841368300.0,3276044000.0,670898600.0,939011000.0,651151200.0,939011000.0,2372824600.0,886746757.1630834,WindowAverage
258_CPU,3273607200.0,2953981700.0,3036375800.0,6571191000.0,2674003200.0,3028285400.0,2836863700.0,3028285400.0,5444350000.0,2710155143.369729,MSTL
